cimageurl,istorageid,benabled,imaxweight,fbeginprice,fendprice,bexistfree,ffreebeginprice,ffreeendprice,ccountrys,crule,csuperrule
/images/china_post.gif,1,TRUE,20000,0,10000,FALSE,null,null,"RU,RU|IN,ID,KR,MY,SG,TH,KP|JP|AR,BR,MX|AF,BH,BD,BT,BN,KH,CL,IR,IQ,JO,KW,LA,LB,MV,MM,NP,AE,YE,BN,LA,PE,DW|AL,AD,FO,GE,GI,IS,LI,MK,MD,MC,ME,SM,RS,VA|DZ,AO,AI,AG,XD,XH,BS,BB,BZ,BJ,BM,BO,BW,IO,BF,BI,CM,CV,KY,CF,TD,CX,CC,CO,KM,CG,CG,CK,CR,CI,CU,DJ,DM,EC,EG,SV,GQ,ER,ET,FK,FJ,GF,PF,TF,GA,GM,GH,GL,GD,GP,GU,GT,GN,GW,GY,HT,HM,HN,JM,KE,KI,LS,LR,LY,MG,XI,MW,ML,MP,MH,MQ,MR,MU,YT,FM,MS,MA,MZ,NA,NR,AN,NC,NI,NE,NG,NU,NF,PG,PY,PN,PR,RE,RW,SH,KN,LC,PM,VC,WS,ST,SN,SC,SL,SB,SO,GS,SD,SR,SZ,TZ,TG,TK,TO,XB,TN,TC,TV,UG,UY,VU,VE,WF,EH,ZM,ZW,TT,A W,PA|AU,AT,BY,BE,BG,HR,CZ,DK,FI,DE,GR,HU,IE,IL,IT,NL,NO,PL,PT,SK,SE,CH|NZ,RO,TR|AM,AZ,BY,BA,CA,CY,EE,FR,KZ,KG,LV,LT,LU,MT,MN,PK,PH,QA,RO,,SI,ES,LK,SY,TJ,TM,UA,GB,US,UZ,VN,KZ,OM,SA,|ZA","0.0->2000.0::$w/1000*96.3+8,2000.0->20000.0::$w/1000*96.3+ceil($w/2000)*8|2000.0->20000.0::$w/1000*71.5+ceil($w/2000)*8,0.0->2000.0::$w/1000*71.5+8|0.0->2000.0::$w/1000*62+8,2000.0->20000.0::$w/1000*62+ceil($w/2000)*8|0.0->2000.0::$w/1000*110+8,2000.0->20000.0::$w/1000*110+ceil($w/2000)*8|0.0->2000.0::$w/1000*120+8,2000.0->20000.0::$w/1000*120+ceil($w/2000)*8|0.0->2000.0::$w/1000*147.5+8,2000.0->20000.0::$w/1000*147.5+ceil($w/2000)*8|0.0->2000.0::$w/1000*176+8,2000.0->20000.0::$w/1000*176+ceil($w/2000)*8|0.0->2000.0::$w/1000*81+8,2000.0->20000.0::$w/1000*81+ceil($w/2000)*8|0.0->2000.0::$w/1000*85+8,2000.0->20000.0::$w/1000*85+ceil($w/2000)*8|0.0->2000.0::$w/1000*90.5+8,2000.0->20000.0::$w/1000*90.5+ceil($w/2000)*8|0.0->2000.0::$w/1000*105+8,2000.0->20000.0::$w/1000*105+ceil($w/2000)*8",$p*0.78
/images/ems.gif,1,TRUE,30000,0,10000,FALSE,null,null,"JP,KR,KP|MY,ID,PH,SG,TH,VN,KH,MN|AU,NZ,PG|ZA,US|PK,BD,IN,NP,LK,TR,LA|AT,BE,CA,DK,FI,FR,DE,GR,IE,IT,LU,NO,PT,ES,SE,CH,GB|HK,MO,TW|BH,BW,BG,BF,KY,TD,CG,CG,CI,HR,CY,DJ,EG,EE,ET,GA,GH,GN,KZ,KE,KW,LV,MG,ML,MA,MZ,NE,NG,OM,QA,RO,RW,SA,SN,SY,TN,UG,IR|AR,BY,BR,CO,CU,CZ,GY,HU,IL,JO,MX,RU,UA,AE,VE,RU,PE,PA",0.0->30000.0::$w<=500?180:(180+(40*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?190:(190+(45*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?210:(210+(55*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?280:(280+(75*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?300:(300+(80*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?280:(280+(75*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?130:(130+(30*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?445:(445+(120*ceil(($w-500)/500)))|0.0->30000.0::$w<=500?335:(335+(100*ceil(($w-500)/500))),$p*0.46+4
/images/dhl.gif,1,TRUE,20000,0,10000,FALSE,null,null,"AL,AD,AM,AT,AZ,BY,BE,BA,BG,XA,HR,CY,CZ,DK,EE,FI,FR,DE,GI,GR,HU,IS,IE,IL,IT,LV,LT,LU,MK,MT,MD,ME,NL,NO,PL,PT,SM,RS,SK,ES,SE,CH,TR,GB,UY,UZ|AU|AD,AT,BE,XA,CY,CZ,DK,EE,FI,FR,DE,GI,GR,GL,HU,IS,IN,IE,IT,LV,LI,LU,MT,MC,NL,NO,PL,PT,SI,ES,SE,CH,GB|AE,AF,BH,EG,IQ,IL,JO,KW,LB,LY,OM,QA,,SA,SY,TR,YE|AS,AU,CK,TP,FJ,GU,KI,NC,NZ,NU,PG,WS,SB,TO,TV,VU,DW|HK,MO|CA,MX,US||JP||MY,PH,SG,TH,BN,KH,ID,LA,VN,LA|KP,TW|AL,DZ,AO,AI,AG,AR,A W,AZ,BS,BD,BB,BY,BZ,BJ,BM,BT,BO,BA,BW,BR,BG,BF,BI,CM,CV,KY,CF,TD,CL,CO,KM,CG,CG,CR,CI,HR,CU,,DJ,DM,DO,EC,SV,GQ,ER,ET,FK,FO,GF,GA,GM,GE,GH,GD,GP,GT,GN,GW,GY,HT,HN,IR,JM,KZ,KZ,KE,KG,LS,LR,LT,MK,MG,MW,MV,ML,MH,MQ,MR,MU,YT,MD,MN,ME,MS,MA,MZ,MM,NA,NR,NI,NE,NG,PK,PA,PY,,PR,RE,RO,RU,RU,RW,SM,ST,SN,RS,SC,SL,SK,SO,ZA,LK,SD,SR,SZ,TJ,TZ,TG,TT,TN,TM,TC,UG,UA,UY,UZ,VE,ZM,ZW","0.0->500.0::0|0.0->500.0::0|0.0->500.0::96.32,500.0->1000.0::121.52,1000.0->1500.0::146.72,1500.0->2000.0::171.92,2000.0->2500.0::197.12,2500.0->3000.0::224,3000.0->3500.0::250.88,3500.0->4000.0::277.76,4000.0->4500.0::304.64,4500.0->5000.0::331.52,5000.0->5500.0::357.32,5500.0->6000.0::383.12,6000.0->6500.0::408.92,6500.0->7000.0::434.72,7000.0->7500.0::460.52,7500.0->8000.0::186.32,8000.0->8500.0::512.12,8500.0->9000.0::537.92,9000.0->9500.0::563.72,9500.0->10000.0::589.52,10000.0->10500.0::612.62,10500.0->11000.0::635.72,11000.0->11500.0::658.82,11500.0->12000.0::681.92,12000.0->12500.0::705.02,12500.0->13000.0::728.12,13000.0->13500.0::751.22,13500.0->14000.0::774.32,14000.0->14500.0::797.42,14500.0->15000.0::820.52,15000.0->15500.0::843.62,15500.0->16000.0::866.72,16000.0->16500.0::889.82,16500.0->17000.0::912.92,17000.0->17500.0::936.02,17500.0->18000.0::959.12,18000.0->18500.0::982.22,18500.0->19000.0::1005.32,19000.0->19500.0::1028.42,19500.0->20000.0::1051.52|0.0->500.0::131.7,500.0->1000.0::166.2,1000.0->1500.0::200.7,1500.0->2000.0::235.2,2000.0->2500.0::269.7,2500.0->3000.0::304.2,3000.0->3500.0::338.7,3500.0->4000.0::373.2,4000.0->4500.0::407.7,4500.0->5000.0::442.2,5000.0->5500.0::473.4,5500.0->6000.0::504.6,6000.0->6500.0::535.8,6500.0->7000.0::567,7000.0->7500.0::598.2,7500.0->8000.0::629.4,8000.0->8500.0::660.6,8500.0->9000.0::691.8,9000.0->9500.0::723,9500.0->10000.0::754.2,10000.0->10500.0::781.8,10500.0->11000.0::809.4,11000.0->11500.0::837,11500.0->12000.0::864.6,12000.0->12500.0::892.2,12500.0->13000.0::919.8,13000.0->13500.0::947.4,13500.0->14000.0::975,14000.0->14500.0::1002.6,14500.0->15000.0::1030.2,15000.0->15500.0::1057.8,15500.0->16000.0::1085.4,16000.0->16500.0::1113,16500.0->17000.0::1140.6,17000.0->17500.0::1168.2,17500.0->18000.0::1195.8,18000.0->18500.0::1223.4,18500.0->19000.0::1251,19000.0->19500.0::1278.6,19500.0->20000.0::1306.2|0.0->500.0::78.6,500.0->1000.0::103.2,1000.0->1500.0::127.8,1500.0->2000.0::152.4,2000.0->2500.0::177,2500.0->3000.0::200.7,3000.0->3500.0::224.4,3500.0->4000.0::248.1,4000.0->4500.0::271.8,4500.0->5000.0::295.5,5000.0->5500.0::316.8,5500.0->6000.0::338.1,6000.0->6500.0::359.4,6500.0->7000.0::380.7,7000.0->7500.0::402.00,7500.0->8000.0::423.30,8000.0->8500.0::444.6,8500.0->9000.0::465.9,9000.0->9500.0::487.2,9500.0->10000.0::508.5,10000.0->10500.0::528.6,10500.0->11000.0::548.7,11000.0->11500.0::568.8,11500.0->12000.0::588.9,12000.0->12500.0::609.00,12500.0->13000.0::629.1,13000.0->13500.0::649.2,13500.0->14000.0::669.3,14000.0->14500.0::689.4,14500.0->15000.0::709.5,15000.0->15500.0::729.6,15500.0->16000.0::749.7,16000.0->16500.0::769.8,16500.0->17000.0::789.9,17000.0->17500.0::810.00,17500.0->18000.0::830.1,18000.0->18500.0::850.2,18500.0->19000.0::870.3,19000.0->19500.0::890.4,19500.0->20000.0::910.5|0.0->500.0::51.9,500.0->1000.0::63.3,1000.0->1500.0::74.7,1500.0->2000.0::86.1,2000.0->2500.0::97.5,2500.0->3000.0::108.6,3000.0->3500.0::119.7,3500.0->4000.0::130.8,4000.0->4500.0::141.9,4500.0->5000.0::153,5000.0->5500.0::163.2,5500.0->6000.0::173.4,6000.0->6500.0::183.6,6500.0->7000.0::193.8,7000.0->7500.0::204,7500.0->8000.0::214.2,8000.0->8500.0::224.4,8500.0->9000.0::234.6,9000.0->9500.0::244.8,9500.0->10000.0::255,10000.0->10500.0::263.4,10500.0->11000.0::271.8,11000.0->11500.0::280.2,11500.0->12000.0::288.6,12000.0->12500.0::297,12500.0->13000.0::305.4,13000.0->13500.0::313.8,13500.0->14000.0::322.2,14000.0->14500.0::330.6,14500.0->15000.0::339,15000.0->15500.0::347.4,15500.0->16000.0::355.8,16000.0->16500.0::364.2,16500.0->17000.0::372.6,17000.0->17500.0::381,17500.0->18000.0::389.4,18000.0->18500.0::397.8,18500.0->19000.0::406.2,19000.0->19500.0::414.6,19500.0->20000.0::423|0.0->500.0::69.42,500.0->1000.0::84.38,1000.0->1500.0::99.34,1500.0->2000.0::114.3,2000.0->2500.0::129.26,2500.0->3000.0::144.05,3000.0->3500.0::158.84,3500.0->4000.0::173.63,4000.0->4500.0::188.42,4500.0->5000.0::203.21,5000.0->5500.0::229.01,5500.0->6000.0::254.81,6000.0->6500.0::280.61,6500.0->7000.0::306.41,7000.0->7500.0::332.21,7500.0->8000.0::358.01,8000.0->8500.0::383.81,8500.0->9000.0::409.61,9000.0->9500.0::435.41,9500.0->10000.0::461.21,10000.0->10500.0::485.81,10500.0->11000.0::510.41,11000.0->11500.0::535.01,11500.0->12000.0::559.61,12000.0->12500.0::584.21,12500.0->13000.0::608.81,13000.0->13500.0::633.41,13500.0->14000.0::658.01,14000.0->14500.0::682.61,14500.0->15000.0::707.21,15000.0->15500.0::731.81,15500.0->16000.0::756.41,16000.0->16500.0::781.01,16500.0->17000.0::805.61,17000.0->17500.0::830.21,17500.0->18000.0::854.81,18000.0->18500.0::879.41,18500.0->19000.0::904.01,19000.0->19500.0::928.61,19500.0->20000.0::953.21|0.0->500.0::69.42,500.0->1000.0::0,1000.0->1500.0::0,1500.0->2000.0::0,2000.0->2500.0::0,2500.0->3000.0::0,3000.0->3500.0::0,3500.0->4000.0::0,4000.0->4500.0::0,4500.0->5000.0::0,5000.0->5500.0::0,5500.0->6000.0::0,6000.0->6500.0::0,6500.0->7000.0::0,7000.0->7500.0::0,7500.0->8000.0::0,8000.0->8500.0::0,8500.0->9000.0::0,9000.0->9500.0::0,9500.0->10000.0::696.9,10000.0->10500.0::722.1,10500.0->11000.0::0,11000.0->11500.0::0,11500.0->12000.0::0,12000.0->12500.0::0,12500.0->13000.0::0,13000.0->13500.0::0,13500.0->14000.0::0,14000.0->14500.0::0,14500.0->15000.0::0,15000.0->15500.0::0,15500.0->16000.0::0,16000.0->16500.0::0,16500.0->17000.0::0,17000.0->17500.0::0,17500.0->18000.0::0,18000.0->18500.0::0,18500.0->19000.0::0,19000.0->19500.0::0,19500.0->20000.0::0|0.0->500.0::69,500.0->1000.0::87.3,1000.0->1500.0::105.6,1500.0->2000.0::123.9,2000.0->2500.0::142.2,2500.0->3000.0::158.7,3000.0->3500.0::175.2,3500.0->4000.0::191.7,4000.0->4500.0::208.2,4500.0->5000.0::224.7,5000.0->5500.0::240.9,5500.0->6000.0::257.1,6000.0->6500.0::273.3,6500.0->7000.0::289.5,7000.0->7500.0::305.7,7500.0->8000.0::321.9,8000.0->8500.0::338.1,8500.0->9000.0::354.3,9000.0->9500.0::370.5,9500.0->10000.0::386.7,10000.0->10500.0::402.3,10500.0->11000.0::417.9,11000.0->11500.0::433.5,11500.0->12000.0::449.1,12000.0->12500.0::464.7,12500.0->13000.0::480.3,13000.0->13500.0::495.9,13500.0->14000.0::511.5,14000.0->14500.0::527.1,14500.0->15000.0::542.7,15000.0->15500.0::558.3,15500.0->16000.0::573.9,16000.0->16500.0::589.5,16500.0->17000.0::605.1,17000.0->17500.0::620.7,17500.0->18000.0::636.3,18000.0->18500.0::651.9,18500.0->19000.0::667.5,19000.0->19500.0::683.1,19500.0->20000.0::698.7|0.0->500.0::0,500.0->1000.0::0,1000.0->1500.0::0,1500.0->2000.0::0,2000.0->2500.0::0,2500.0->3000.0::0,3000.0->3500.0::0,3500.0->4000.0::0,4000.0->4500.0::0,4500.0->5000.0::0,5000.0->5500.0::0,5500.0->6000.0::0,6000.0->6500.0::0,6500.0->7000.0::0,7000.0->7500.0::0,7500.0->8000.0::0,8000.0->8500.0::0,8500.0->9000.0::0,9000.0->9500.0::0,9500.0->10000.0::0,10000.0->10500.0::0,10500.0->11000.0::0,11000.0->11500.0::0,11500.0->12000.0::0,12000.0->12500.0::0,12500.0->13000.0::0,13000.0->13500.0::0,13500.0->14000.0::0,14000.0->14500.0::0,14500.0->15000.0::0,15000.0->15500.0::0,15500.0->16000.0::0,16000.0->16500.0::0,16500.0->17000.0::0,17000.0->17500.0::0,17500.0->18000.0::0,18000.0->18500.0::0,18500.0->19000.0::0,19000.0->19500.0::1604.7,19500.0->20000.0::0|0.0->500.0::78.3,500.0->1000.0::95.7,1000.0->1500.0::113.1,1500.0->2000.0::130.5,2000.0->2500.0::147.9,2500.0->3000.0::164.7,3000.0->3500.0::181.5,3500.0->4000.0::198.3,4000.0->4500.0::215.1,4500.0->5000.0::231.9,5000.0->5500.0::248.7,5500.0->6000.0::265.5,6000.0->6500.0::282.3,6500.0->7000.0::299.1,7000.0->7500.0::315.9,7500.0->8000.0::332.7,8000.0->8500.0::349.5,8500.0->9000.0::366.3,9000.0->9500.0::383.1,9500.0->10000.0::399.9,10000.0->10500.0::416.4,10500.0->11000.0::432.9,11000.0->11500.0::449.4,11500.0->12000.0::465.9,12000.0->12500.0::482.4,12500.0->13000.0::498.9,13000.0->13500.0::515.4,13500.0->14000.0::531.9,14000.0->14500.0::548.4,14500.0->15000.0::564.9,15000.0->15500.0::581.4,15500.0->16000.0::597.9,16000.0->16500.0::614.4,16500.0->17000.0::630.9,17000.0->17500.0::647.4,17500.0->18000.0::663.9,18000.0->18500.0::680.4,18500.0->19000.0::696.9,19000.0->19500.0::713.4,19500.0->20000.0::729.9|0.0->500.0::73.2,500.0->1000.0::89.7,1000.0->1500.0::106.2,1500.0->2000.0::122.7,2000.0->2500.0::139.2,2500.0->3000.0::155.7,3000.0->3500.0::172.2,3500.0->4000.0::188.7,4000.0->4500.0::205.2,4500.0->5000.0::221.7,5000.0->5500.0::237.3,5500.0->6000.0::252.9,6000.0->6500.0::268.5,6500.0->7000.0::284.1,7000.0->7500.0::299.7,7500.0->8000.0::315.3,8000.0->8500.0::330.9,8500.0->9000.0::346.5,9000.0->9500.0::362.1,9500.0->10000.0::377.7,10000.0->10500.0::390.9,10500.0->11000.0::404.1,11000.0->11500.0::417.3,11500.0->12000.0::430.5,12000.0->12500.0::443.7,12500.0->13000.0::456.9,13000.0->13500.0::470.1,13500.0->14000.0::483.3,14000.0->14500.0::496.5,14500.0->15000.0::509.7,15000.0->15500.0::522.9,15500.0->16000.0::536.1,16000.0->16500.0::549.3,16500.0->17000.0::562.5,17000.0->17500.0::575.7,17500.0->18000.0::588.9,18000.0->18500.0::602.1,18500.0->19000.0::615.3,19000.0->19500.0::628.5,19500.0->20000.0::641.7|0.0->500.0::198,500.0->1000.0::242.1,1000.0->1500.0::286.2,1500.0->2000.0::330.3,2000.0->2500.0::374.4,2500.0->3000.0::418.2,3000.0->3500.0::462,3500.0->4000.0::505.8,4000.0->4500.0::549.6,4500.0->5000.0::593.4,5000.0->5500.0::633,5500.0->6000.0::672.6,6000.0->6500.0::712.2,6500.0->7000.0::751.8,7000.0->7500.0::791.4,7500.0->8000.0::831,8000.0->8500.0::870.6,8500.0->9000.0::910.2,9000.0->9500.0::949.8,9500.0->10000.0::989.4,10000.0->10500.0::1026.3,10500.0->11000.0::1063.2,11000.0->11500.0::1100.1,11500.0->12000.0::1137,12000.0->12500.0::1173.9,12500.0->13000.0::1210.8,13000.0->13500.0::1247.7,13500.0->14000.0::1284.6,14000.0->14500.0::1321.5,14500.0->15000.0::1358.4,15000.0->15500.0::1395.3,15500.0->16000.0::1432.2,16000.0->16500.0::1469.1,16500.0->17000.0::1506,17000.0->17500.0::1542.9,17500.0->18000.0::1579.8,18000.0->18500.0::1616.7,18500.0->19000.0::1653.6,19000.0->19500.0::1690.5,19500.0->20000.0::1727.4",$p*1.215
/images/royal_mail.gif,3,TRUE,6000,0,10000,FALSE,null,null,"BE,FR,DE,GR,CY,AD,AT,CZ,DK,FI,IS,IE,IT,LI,LU,NL,NO,PL,PT,SK,ES,SE,CH,AL,AM,AZ,BY,BA,BG,HR,EE,GE,HU,LV,LT,MK,MT,MD,ME,RO,SM,RS,SI,UA,VA,rus|GB","4000->6000::$w<=1000?7.55:7.55+(0.12*ceil(($w-1000)/20)),2000->4000::$w<=1000?7.55:7.55+(0.12*ceil(($w-1000)/20)),1750->2000::$w<=1000?7.55:7.55+(0.12*ceil(($w-1000)/20)),1500->1750::$w<=1000?7.55:7.55+(0.12*ceil(($w-1000)/20)),1250->1500::$w<=1000?7.55:7.55+(0.12*ceil(($w-1000)/20)),1000->1250::$w<1000?7.55:7.55+(0.12*ceil(($w-1000)/20)),750->1000::$w<=500?4.3:4.3+(0.13*ceil(($w-500)/20)),500->750::$w<=500?4.3:4.3+(0.13*ceil(($w-500)/20)),250->500::$w<=250?2.4:2.4+(0.14*ceil(($w-250)/20)),100->250::2.5,0->100::1.5|4000->6000::10.1,2000->4000::7.9,1750->2000::4.6,1500->1750::4.2,1250->1500::3.9,1000->1250::3.5,750->1000::2.8,500->750::2.5,250->500::2.1,100->250::1.8,0->100::1.4",($p* 9.43975+2.8+($w/1000)*32)*1.125
/images/usps.gif,2,TRUE,30600,0,10000,FALSE,null,null,US,"340->350::5.7,330->340::5.6,320->330::5.4,310->320::5.3,300->310::5.2,290->300::5,280->290::4.9,270->280::4.8,260->270::4.6,250->260::4.5,240->250::4.4,230->240::4.3,220->230::4.1,210->220::4,200->210::3.9,190->200::3.7,180->190::3.6,170->180::3.5,160->170::3.3,150->160::3.2,140->150::3.1,130->140::2.9,120->130::2.8,110->120::2.7,100->110::1.88,0->100::1.88,31050->31500::86.7,30600->31050::86.5,30150->30600::86.1,29700->30150::85.7,29250->29700::85.3,28800->29250::85,28350->28800::84.6,27900->28350::84.2,27450->27900::83.8,27000->27450::83.5,26550->27000::82.9,26100->26550::82.4,25650->26100::82,25200->25650::81.4,24750->25200::80.8,24300->24750::80.3,23850->24300::79.6,23400->23850::79,22950->23400::78.1,22500->22950::77,22050->22500::76,21600->22050::74.9,21150->21600::74.3,20700->21150::73.5,20250->20700::72.7,19800->20250::71.9,19350->19800::71.1,18900->19350::70.3,18450->18900::69.5,18000->18450::68.6,17550->18000::67.2,17100->17550::65.7,16650->17100::64,16200->16650::62.6,15750->16200::61.1,15300->15750::60.1,14850->15300::58.6,14400->14850::57.2,13950->14400::55.7,13500->13950::54.3,13050->13500::52.8,12600->13050::52.1,12150->12600::51.3,11700->12150::50.6,11250->11700::49.8,10800->11250::48.8,10350->10800::48.1,9900->10350::47.1,9450->9900::46.3,9000->9450::45.6,8550->9000::45,8100->8550::43.4,7650->8100::41.4,7200->7650::39.5,6750->7200::37.5,6300->6750::35.5,5850->6300::34.9,5400->5850::33,4950->5400::31.7,4500->4950::29.3,4050->4500::27,3600->4050::24.6,3150->3600::22.6,2700->3150::20.7,2250->2700::18.3,1800->2250::17.4,1350->1800::15.2,900->1350::12,450->900::9.6,350->450::6.4",(($p+0.19)*6.28377+1.6+($w/1000)*29)*1.125
/images/de_post.gif,5,TRUE,1000,0,10000,FALSE,null,null,DE,0->1000::2.2,($p*9.7007+($w/1000)*32)*1.125
/images/dhl.gif,5,TRUE,31500,0,10000,FALSE,null,null,"AT,BE,BG,DK,EE,FI,FR,GR,IE,LV,LT,LU,MT,MA,NL,PL,RO,SM,SK,SI,ES,SE,GB|AD,LI,NO,CH|BY,GE,GI,IS,MK,RU,RS,TR,UA,RU,KZ|AL,DZ,AM,AZ,EG,IR,IQ,JO,KW,LB,MA,QA,SY,TN,OM|AR,AU,BH,BR,CA,CL,CN,CO,HK,IN,ID,JP,MY,MX,NZ,PK,PH,SG,ZA,TW,TH,AE,US,VE,KR,P E,SA,DPRK|AF,AO,AI,AG,AW,BS,BD,BB,BZ,BJ,BM,BT,BO,BW,BF,BI,KH,CM,CV,KY,CF,TD,KM,CD,CG,CR,CI,DJ,DM,DO,EC,SV,ER,ET,FK,FJ,GF,GA,GM,GH,GD,GP,GT,GN,GW,GY,HT,HN,JM,KE,KI,KG,LR,MO,MG,MW,MV,ML,MQ,MR,MU,YT,MN,MS,MZ,MM,NA,NP,AN,NC,NI,NE,NG,PG,PY,PN,RE,RW,SH,KN,LC,PM,VC,AS,ST,SN,SC,SL,SB,LK,SD,SR,SZ,TJ,TG,TO,VG,TT,XB,TM,UG,UY,UZ,VU,VN,YE,ZM,ZW,BRU,LA,PA|DE",0->31500::$w/1000*0.28+7.3|0->31500::$w/1000*0.95+11.83|0->31500::$w/1000*1.5+23|0->31500::$w/1000*5+24.5|0->31500::$w/1000*2.79+15.3|0->31500::$w/1000*7+30|0->31500::2.91,($p*9.7007+($w/1000)*32)*1.125
/images/china_post.gif,1,FALSE,20000,0,30,TRUE,0,5,null,null,null
