"iid","iparentid","cpath","ilevel","iposition","ichildrencount"
"78","71","Sports-Outdoor/Fishing/Fishing-Gloves","3",null,null
"79","71","Sports-Outdoor/Fishing/Fishing-Boxes","3",null,null
"80","71","Sports-Outdoor/Fishing/Fishing-Lights","3",null,null
"81","71","Sports-Outdoor/Fishing/Fishing-Bags","3",null,null
"82","71","Sports-Outdoor/Fishing/Fishing-Wear","3",null,null
"83","71","Sports-Outdoor/Fishing/Tools-Equipment","3",null,null
"84","71","Sports-Outdoor/Fishing/Fly-Reels","3",null,null
"85","71","Sports-Outdoor/Fishing/Fly-Lures","3",null,null
"86","50","Sports-Outdoor/Camping-Hiking","2",null,null
"87","86","Sports-Outdoor/Camping-Hiking/Outdoor-Tools","3",null,null
"88","86","Sports-Outdoor/Camping-Hiking/Telescope-Binoculars","3",null,null
"89","86","Sports-Outdoor/Camping-Hiking/Sleeping-Bags","3",null,null
"90","86","Sports-Outdoor/Camping-Hiking/Tents","3",null,null
"91","86","Sports-Outdoor/Camping-Hiking/Outdoor-Lanterns","3",null,null
"92","86","Sports-Outdoor/Camping-Hiking/Backpacks","3",null,null
"93","86","Sports-Outdoor/Camping-Hiking/Travel-Supplies","3",null,null
"94","86","Sports-Outdoor/Camping-Hiking/Compasses","3",null,null
"95","86","Sports-Outdoor/Camping-Hiking/Outdoor-Appliances","3",null,null
"96","86","Sports-Outdoor/Camping-Hiking/Emergency-Survival-Tools-","3",null,null
"97","86","Sports-Outdoor/Camping-Hiking/Camping-Mats","3",null,null
"98","86","Sports-Outdoor/Camping-Hiking/Camping-Furniture","3",null,null
"99","50","Sports-Outdoor/Sports-Body-Building-","2",null,null
"100","99","Sports-Outdoor/Sports-Body-Building-/Wearable-Sports-Electronics","3",null,null
"101","99","Sports-Outdoor/Sports-Body-Building-/Ball-Games","3",null,null
"102","99","Sports-Outdoor/Sports-Body-Building-/Physical-Fitness","3",null,null
"103","99","Sports-Outdoor/Sports-Body-Building-/Yoga","3",null,null
"104","99","Sports-Outdoor/Sports-Body-Building-/Boxing","3",null,null
"105","99","Sports-Outdoor/Sports-Body-Building-/Golf","3",null,null
"106","99","Sports-Outdoor/Sports-Body-Building-/Extreme-Sports","3",null,null
"107","99","Sports-Outdoor/Sports-Body-Building-/Others","3",null,null
"108","99","Sports-Outdoor/Sports-Body-Building-/Shinguards","3",null,null
"109","99","Sports-Outdoor/Sports-Body-Building-/Fitness-Bags","3",null,null
"110","99","Sports-Outdoor/Sports-Body-Building-/Sweaters","3",null,null
"111","99","Sports-Outdoor/Sports-Body-Building-/Undergarment","3",null,null
"112","99","Sports-Outdoor/Sports-Body-Building-/Gym-Strips","3",null,null
"113","99","Sports-Outdoor/Sports-Body-Building-/Fitness-Gloves","3",null,null
"114","99","Sports-Outdoor/Sports-Body-Building-/Rope-Skipping","3",null,null
"115","99","Sports-Outdoor/Sports-Body-Building-/Wrist-Developers","3",null,null
"116","99","Sports-Outdoor/Sports-Body-Building-/Amusement-Parks","3",null,null
"117","99","Sports-Outdoor/Sports-Body-Building-/Kites","3",null,null
"118","50","Sports-Outdoor/Beach-Sports","2",null,null
"119","118","Sports-Outdoor/Beach-Sports/Sunglasses","3",null,null
"120","118","Sports-Outdoor/Beach-Sports/Swimming-Goggles","3",null,null
"121","118","Sports-Outdoor/Beach-Sports/Diving","3",null,null
"122","118","Sports-Outdoor/Beach-Sports/Swimwear","3",null,null
"123","118","Sports-Outdoor/Beach-Sports/Diving-Mask-Snorkels-","3",null,null
"124","118","Sports-Outdoor/Beach-Sports/Surfing-Boating","3",null,null
"125","118","Sports-Outdoor/Beach-Sports/Swimming-Caps","3",null,null
"126","50","Sports-Outdoor/Winter-Sports","2",null,null
"127","126","Sports-Outdoor/Winter-Sports/Ski-Helmets","3",null,null
"128","126","Sports-Outdoor/Winter-Sports/Ski-Goggles","3",null,null
"129","126","Sports-Outdoor/Winter-Sports/Gloves","3",null,null
"130","126","Sports-Outdoor/Winter-Sports/Hats-Scarfs","3",null,null
"131","126","Sports-Outdoor/Winter-Sports/Skiing-Gears","3",null,null
"132","126","Sports-Outdoor/Winter-Sports/Crampons","3",null,null
"133","50","Sports-Outdoor/Ball-Games","2",null,null
"134","133","Sports-Outdoor/Ball-Games/Tennis-Others","3",null,null
"135","133","Sports-Outdoor/Ball-Games/Badminton-Others","3",null,null
"136","133","Sports-Outdoor/Ball-Games/Table-Tennis-Others","3",null,null
"137","133","Sports-Outdoor/Ball-Games/Volleyball-Others","3",null,null
"138","133","Sports-Outdoor/Ball-Games/Basketball-Others","3",null,null
"139","133","Sports-Outdoor/Ball-Games/Football-Others","3",null,null
"140","50","Sports-Outdoor/Travel-Accessories","2",null,null
"141","140","Sports-Outdoor/Travel-Accessories/Storage-Containers","3",null,null
"142","140","Sports-Outdoor/Travel-Accessories/OthersTravel-Accessories","3",null,null
"143","50","Sports-Outdoor/Others","2",null,null
"144",null,"Test-Equipment-Tools","1",null,null
"145","144","Test-Equipment-Tools/UNI-T","2",null,null
"146","145","Test-Equipment-Tools/UNI-T/Digital-Multimeters","3",null,null
"147","145","Test-Equipment-Tools/UNI-T/Clamp-Meters","3",null,null
"148","145","Test-Equipment-Tools/UNI-T/Environmental-Testers","3",null,null
"149","145","Test-Equipment-Tools/UNI-T/Others","3",null,null
"150","144","Test-Equipment-Tools/MASTECH","2",null,null
"151","150","Test-Equipment-Tools/MASTECH/Digital-Multimeters","3",null,null
"152","150","Test-Equipment-Tools/MASTECH/Clamp-Meters","3",null,null
"153","150","Test-Equipment-Tools/MASTECH/Environmental-Testers","3",null,null
"154","150","Test-Equipment-Tools/MASTECH/Others","3",null,null
"155","144","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument","2",null,null
"156","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Digital-Multimeters","3",null,null
"157","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Clamp-Meters","3",null,null
"158","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Instrument-for-Exclusive-Use","3",null,null
"159","155","Test-Equipment-Tools/Electrotechnical-Measurement-Instrument/Others","3",null,null
"160","144","Test-Equipment-Tools/Environal-Measurement-Instruments","2",null,null
"161","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Infrared-Thermometer","3",null,null
"162","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Temperature-Humidity-Instrument","3",null,null
"163","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Gas-Testing-Instrument","3",null,null
"164","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Water-Quality-Analysis-Instrument","3",null,null
"165","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Soil-Analysis-Instrument","3",null,null
"166","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Illuminometer","3",null,null
"167","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Vibration-Noisemeter","3",null,null
"168","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Breath-Alcohol-Tester","3",null,null
"169","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Communication-Instruments","3",null,null
"170","160","Test-Equipment-Tools/Environal-Measurement-Instruments/Others","3",null,null
"171","144","Test-Equipment-Tools/Optical-Instrument","2",null,null
"172","171","Test-Equipment-Tools/Optical-Instrument/Microscope","3",null,null
"173","171","Test-Equipment-Tools/Optical-Instrument/Magnifier","3",null,null
"174","171","Test-Equipment-Tools/Optical-Instrument/Optical-measurement-instrument","3",null,null
"175","171","Test-Equipment-Tools/Optical-Instrument/Endoscopes","3",null,null
"176","144","Test-Equipment-Tools/Measurement-Instrument","2",null,null
"177","176","Test-Equipment-Tools/Measurement-Instrument/Balance-Weighing-Apparatus","3",null,null
"178","176","Test-Equipment-Tools/Measurement-Instrument/Length-Measuring-Instrument","3",null,null
"179","176","Test-Equipment-Tools/Measurement-Instrument/Others","3",null,null
"180","144","Test-Equipment-Tools/Hardware-Gadgets","2",null,null
"181","180","Test-Equipment-Tools/Hardware-Gadgets/Maintenance-Tools","3",null,null
"182","180","Test-Equipment-Tools/Hardware-Gadgets/Electric-Pneumatic-tools","3",null,null
"183","180","Test-Equipment-Tools/Hardware-Gadgets/Grinding-Tools","3",null,null
"184","180","Test-Equipment-Tools/Hardware-Gadgets/Paint-Sprying-Tools","3",null,null
"185","180","Test-Equipment-Tools/Hardware-Gadgets/Others","3",null,null
"186","144","Test-Equipment-Tools/Electrical-accessories","2",null,null
"187",null,"Computer-Networking","1",null,null
"188","187","Computer-Networking/Keyboards-Mice-Input","2",null,null
"189","188","Computer-Networking/Keyboards-Mice-Input/Keyboard","3",null,null
"190","188","Computer-Networking/Keyboards-Mice-Input/Mice","3",null,null
"191","188","Computer-Networking/Keyboards-Mice-Input/Barcode-Scanners","3",null,null
"192","188","Computer-Networking/Keyboards-Mice-Input/Other","3",null,null
"193","187","Computer-Networking/Computer-Accessories","2",null,null
"194","193","Computer-Networking/Computer-Accessories/USB-Hubs","3",null,null
"195","193","Computer-Networking/Computer-Accessories/Headsets-Microphones","3",null,null
