"clistingid","ilanguageid","csku","icategory","ccreateuser","dcreatedate"
"97bdd380-d8c9-1004-8a97-438cca05a146",null,"GAME020","22",null,"2015-02-07 00:00:00"
"97bf0c00-d8c9-1004-8a97-438cca05a146",null,"GAME017","10",null,"2015-02-07 00:00:00"
"97bf0c00-d8c9-1004-8a97-438cca05a146",null,"GAME017","23",null,"2015-02-07 00:00:00"
"97c044e4-d8c9-1004-8a97-438cca05a146",null,"GAME005","10",null,"2015-02-07 00:00:00"
"97c044e4-d8c9-1004-8a97-438cca05a146",null,"GAME005","23",null,"2015-02-07 00:00:00"
"97c12f44-d8c9-1004-8a97-438cca05a146",null,"W017","77",null,"2015-02-07 00:00:00"
"97c12f44-d8c9-1004-8a97-438cca05a146",null,"W017","78",null,"2015-02-07 00:00:00"
"97c219a4-d8c9-1004-8a97-438cca05a146",null,"W023","77",null,"2015-02-07 00:00:00"
"97c219a4-d8c9-1004-8a97-438cca05a146",null,"W023","78",null,"2015-02-07 00:00:00"
"97c35224-d8c9-1004-8a97-438cca05a146",null,"W022","77",null,"2015-02-07 00:00:00"
"97c35224-d8c9-1004-8a97-438cca05a146",null,"W022","78",null,"2015-02-07 00:00:00"
"97c43c84-d8c9-1004-8a97-438cca05a146",null,"W021","77",null,"2015-02-07 00:00:00"
"97c43c84-d8c9-1004-8a97-438cca05a146",null,"W021","78",null,"2015-02-07 00:00:00"
"97c4ffd4-d8c9-1004-8a97-438cca05a146",null,"W020","77",null,"2015-02-07 00:00:00"
"97c4ffd4-d8c9-1004-8a97-438cca05a146",null,"W020","78",null,"2015-02-07 00:00:00"
"97c63854-d8c9-1004-8a97-438cca05a146",null,"W019","77",null,"2015-02-07 00:00:00"
"97c63854-d8c9-1004-8a97-438cca05a146",null,"W019","78",null,"2015-02-07 00:00:00"
"97c7bef4-d8c9-1004-8a97-438cca05a146",null,"W018","77",null,"2015-02-07 00:00:00"
"97c7bef4-d8c9-1004-8a97-438cca05a146",null,"W018","78",null,"2015-02-07 00:00:00"
"97c8d064-d8c9-1004-8a97-438cca05a146",null,"W016","77",null,"2015-02-07 00:00:00"
"97c8d064-d8c9-1004-8a97-438cca05a146",null,"W016","78",null,"2015-02-07 00:00:00"
"97c96ca4-d8c9-1004-8a97-438cca05a146",null,"W015","77",null,"2015-02-07 00:00:00"
"97c96ca4-d8c9-1004-8a97-438cca05a146",null,"W015","78",null,"2015-02-07 00:00:00"
