"clistingid","ilanguageid","csku","icategory","ccreateuser","dcreatedate"
"981210bc-d8c9-1004-8a97-438cca05a146",null,"H1108","283",null,"2015-02-07 00:00:00"
"9812d40c-d8c9-1004-8a97-438cca05a146",null,"H1109","77",null,"2015-02-07 00:00:00"
"9812d40c-d8c9-1004-8a97-438cca05a146",null,"H1109","79",null,"2015-02-07 00:00:00"
"9812d40c-d8c9-1004-8a97-438cca05a146",null,"H1109","283",null,"2015-02-07 00:00:00"
"9813e5e0-d8c9-1004-8a97-438cca05a146",null,"H1107","77",null,"2015-02-07 00:00:00"
"9813e5e0-d8c9-1004-8a97-438cca05a146",null,"H1107","79",null,"2015-02-07 00:00:00"
"9813e5e0-d8c9-1004-8a97-438cca05a146",null,"H1107","283",null,"2015-02-07 00:00:00"
"9814d040-d8c9-1004-8a97-438cca05a146",null,"H982","77",null,"2015-02-07 00:00:00"
"9814d040-d8c9-1004-8a97-438cca05a146",null,"H982","79",null,"2015-02-07 00:00:00"
"9814d040-d8c9-1004-8a97-438cca05a146",null,"H982","283",null,"2015-02-07 00:00:00"
"9815baa0-d8c9-1004-8a97-438cca05a146",null,"H981","77",null,"2015-02-07 00:00:00"
"9815baa0-d8c9-1004-8a97-438cca05a146",null,"H981","79",null,"2015-02-07 00:00:00"
