"clistingid","csku","cimageurl","clabel","iorder","bthumbnail","bsmallimage","bbaseimage"
"96540348-d8c9-1004-8a97-438cca05a146","F1113","http://www.tomtop.com/media/catalog/product/1/2/12508392450_3.jpg",null,"1","t","t","t"
"96540348-d8c9-1004-8a97-438cca05a146","F1113","http://www.tomtop.com/media/catalog/product/1/2/12508392451_3.jpg",null,"2","t","t","t"
"96540348-d8c9-1004-8a97-438cca05a146","F1113","http://www.tomtop.com/media/catalog/product/1/2/12508392452_3.jpg",null,"3","t","t","t"
"9654faf0-d8c9-1004-8a97-438cca05a146","F1112","http://www.tomtop.com/media/catalog/product/1/2/12508391380_3.jpg",null,"1","t","t","t"
"9654faf0-d8c9-1004-8a97-438cca05a146","F1112","http://www.tomtop.com/media/catalog/product/1/2/12508391381_3.jpg",null,"2","t","t","t"
"9654faf0-d8c9-1004-8a97-438cca05a146","F1112","http://www.tomtop.com/media/catalog/product/1/2/12508391382_3.jpg",null,"3","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044650_3.jpg",null,"1","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044651_3.jpg",null,"2","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044652_3.jpg",null,"3","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044653_3.jpg",null,"4","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044654_3.jpg",null,"5","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044665_3.jpg",null,"6","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044666_3.jpg",null,"7","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044667_3.jpg",null,"8","t","t","t"
"965611d8-d8c9-1004-8a97-438cca05a146","MSP01-g","http://www.tomtop.com/media/catalog/product/1/2/12505044668_3.jpg",null,"9","t","t","t"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","http://www.tomtop.com/media/catalog/product/1/2/12496314790_3.jpg",null,"1","t","t","t"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","http://www.tomtop.com/media/catalog/product/1/2/12496314791_3.jpg",null,"2","t","t","t"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","http://www.tomtop.com/media/catalog/product/1/2/12496314792_3.jpg",null,"3","t","t","t"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","http://www.tomtop.com/media/catalog/product/1/2/12496314793_3.jpg",null,"4","t","t","t"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","http://www.tomtop.com/media/catalog/product/1/2/12496314794_3.jpg",null,"5","t","t","t"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","http://www.tomtop.com/media/catalog/product/1/2/12496314795_3.jpg",null,"6","t","t","t"
"9656d528-d8c9-1004-8a97-438cca05a146","F1026W","http://www.tomtop.com/media/catalog/product/1/2/12496314796_3.jpg",null,"7","t","t","t"
"9657e5d0-d8c9-1004-8a97-438cca05a146","F997W","http://www.tomtop.com/media/catalog/product/1/2/12494663210_3.jpg",null,"1","t","t","t"
"9657e5d0-d8c9-1004-8a97-438cca05a146","F997W","http://www.tomtop.com/media/catalog/product/1/2/12494663211_3.jpg",null,"2","t","t","t"
"9657e5d0-d8c9-1004-8a97-438cca05a146","F997W","http://www.tomtop.com/media/catalog/product/1/2/12494663212_3.jpg",null,"3","t","t","t"
"9657e5d0-d8c9-1004-8a97-438cca05a146","F997W","http://www.tomtop.com/media/catalog/product/1/2/12494663213_3.jpg",null,"4","t","t","t"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","http://www.tomtop.com/media/catalog/product/1/2/12494662370_3.jpg",null,"1","t","t","t"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","http://www.tomtop.com/media/catalog/product/1/2/12494662371_3.jpg",null,"2","t","t","t"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","http://www.tomtop.com/media/catalog/product/1/2/12494662382_3.jpg",null,"3","t","t","t"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","http://www.tomtop.com/media/catalog/product/1/2/12494662383_3.jpg",null,"4","t","t","t"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","http://www.tomtop.com/media/catalog/product/1/2/12494662384_3.jpg",null,"5","t","t","t"
"9658a72c-d8c9-1004-8a97-438cca05a146","F997S","http://www.tomtop.com/media/catalog/product/1/2/12494662385_3.jpg",null,"6","t","t","t"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","http://www.tomtop.com/media/catalog/product/1/2/12494661210_3.jpg",null,"1","t","t","t"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","http://www.tomtop.com/media/catalog/product/1/2/12494661211_3.jpg",null,"2","t","t","t"
"965999c0-d8c9-1004-8a97-438cca05a146","F997RP","http://www.tomtop.com/media/catalog/product/1/2/12494661212_3.jpg",null,"3","t","t","t"
