clistingid,iwebsiteid,csku,istatus,cvideoaddress,iqty,fprice,fcostprice,fweight,bmultiattribute,cparentsku,bvisible,bpulish
0d16fc35-d914-1004-874c-d371c9ab96c0,1,TAZH06,1,,1000,5.736,1.18,150,f,,t,t
5cfd5e4c-d986-1004-8e0c-b321d9e0c5c1,1,H14120,1,,10000,1.57,0.1,16,f,,t,t
5f3ad2fc-d986-1004-8e0c-b321d9e0c5c1,1,W460,1,,10000,2.79,0.6452,48,f,,t,t
d4f8fa21-d929-1004-835b-90389054983d,1,V487B,1,,6,56.71,35.54,901,t,V487,t,t
ca3783e1-d92f-1004-8e79-5d7e63ca983b,1,G0187B-L,1,,1,7.87,2.5843,233,t,G0187,t,t
f79609ed-d94d-1004-8ce2-70e36be5c01e,1,G0220B-M,1,,5,8.82,6.79,214,t,G0220B,t,t
0468de81-d914-1004-874c-d371c9ab96c0,1,H11869,1,,1000,30.91,17.45,320,f,,t,t
00ad9068-d914-1004-874c-d371c9ab96c0,1,S193,1,,2,45.33,20.36,530,f,,t,t
00bb8d3a-d914-1004-874c-d371c9ab96c0,1,K1028,1,,1000,8.92,3.96,168,f,,t,t
0486b340-d914-1004-874c-d371c9ab96c0,1,K1743,1,,1000,27.8,14.54,103,f,,t,t
48dd096c-d986-1004-8e0c-b321d9e0c5c1,1,L0369,1,,10000,8.42,4.5649,109,f,,t,t
c82f08e8-d92f-1004-8e79-5d7e63ca983b,1,P1186B-US,1,,1000,495.1,376.41,400,t,P1186,t,t
00657560-d914-1004-874c-d371c9ab96c0,1,H8814B,1,,1,10.65,6.14,83,f,,t,t
00ce9441-d914-1004-874c-d371c9ab96c0,1,D1127,1,,1000,5.26,2.42,44,f,,t,t
d4c5f20e-d929-1004-835b-90389054983d,1,H6023B,1,,19,5.61,1.94,71,t,H6023,t,t
d49ebb65-d929-1004-835b-90389054983d,1,H2820B-L,1,,13,6.47,4.0398,145,t,H2820,t,t
00af0570-d914-1004-874c-d371c9ab96c0,1,H3118,1,,26,5.652,2.5,62,f,,t,t
